Source,Target,Type,Weight
TAB,RUD,Undirected,3
RUD,ANC,Undirected,17
ANC,CEN,Undirected,17
CEN,PLA,Undirected,5
PLA,ASU,Undirected,2
TAB,PAU,Undirected,3
PAU,JOR,Undirected,1
JOR,RUD,Undirected,1
CEN,STA,Undirected,4
PAU,RUD,Undirected,3
CEN,BAE,Undirected,10
BAE,NPE,Undirected,2
NPE,STA,Undirected,6
STA,FER,Undirected,1
MON,BAE,Undirected,7
ALV,COP,Undirected,6
COP,CAS,Undirected,4
CAS,ADI,Undirected,2
ADI,ASU,Undirected,9
ASU,CEN,Undirected,9
CAS,ASU,Undirected,6
FIN,RIO,Undirected,4
RIO,BNE,Undirected,2
BNE,BOT,Undirected,4
BOT,MON,Undirected,4
MON,DEM,Undirected,1
DEM,FER,Undirected,4
FER,CEN,Undirected,15
CEN,NPE,Undirected,6
COP,ADI,Undirected,5
IND,PLA,Undirected,5
PLA,JOR,Undirected,6
JOR,CEN,Undirected,3
FER,MON,Undirected,9
ALV,ADI,Undirected,1
BAT,ALV,Undirected,6
ALV,CAS,Undirected,5
ASU,IND,Undirected,2
CEN,DEM,Undirected,8
DEM,ASU,Undirected,2
ADI,IND,Undirected,1
STA,MON,Undirected,2
ALV,DEM,Undirected,1
DEM,CAS,Undirected,4
CAS,BAT,Undirected,1
NPE,MON,Undirected,5
RIO,MON,Undirected,2
BOT,DEM,Undirected,4
BAT,DEM,Undirected,1
CPV,TTT,Undirected,1
TTT,CRZ,Undirected,1
ASU,ALV,Undirected,1
ZZL,VAR,Undirected,1
VAR,RIO,Undirected,3
MON,BNE,Undirected,1
CAS,CEN,Undirected,1
RPE,RPE,Undirected,0
ASE,ASE,Undirected,0
IMI,IMI,Undirected,0
CCT,CCT,Undirected,0
TQC,TQC,Undirected,0
