Source,Target,Type,Weight,Label_copy
TAB,RUD,Undirected,5,5.0
TAB,ANC,Undirected,5,5.0
TAB,CEN,Undirected,4,4.0
TAB,PLA,Undirected,1,1.0
TAB,ASU,Undirected,1,1.0
RUD,ANC,Undirected,17,17.0
RUD,CEN,Undirected,16,16.0
RUD,PLA,Undirected,4,4.0
RUD,ASU,Undirected,6,6.0
ANC,CEN,Undirected,17,17.0
ANC,PLA,Undirected,4,4.0
ANC,ASU,Undirected,6,6.0
CEN,PLA,Undirected,9,9.0
CEN,ASU,Undirected,15,15.0
PLA,ASU,Undirected,5,5.0
TAB,PAU,Undirected,3,3.0
TAB,JOR,Undirected,1,1.0
TAB,STA,Undirected,2,2.0
PAU,JOR,Undirected,2,2.0
PAU,RUD,Undirected,5,5.0
PAU,ANC,Undirected,5,5.0
PAU,CEN,Undirected,4,4.0
PAU,STA,Undirected,2,2.0
JOR,RUD,Undirected,3,3.0
JOR,ANC,Undirected,3,3.0
JOR,CEN,Undirected,7,7.0
JOR,STA,Undirected,1,1.0
RUD,STA,Undirected,2,2.0
ANC,STA,Undirected,2,2.0
CEN,STA,Undirected,7,7.0
TAB,BAE,Undirected,1,1.0
TAB,NPE,Undirected,1,1.0
TAB,FER,Undirected,1,1.0
PAU,BAE,Undirected,1,1.0
PAU,NPE,Undirected,1,1.0
PAU,FER,Undirected,1,1.0
RUD,BAE,Undirected,3,3.0
RUD,NPE,Undirected,1,1.0
RUD,FER,Undirected,5,5.0
ANC,BAE,Undirected,3,3.0
ANC,NPE,Undirected,1,1.0
ANC,FER,Undirected,5,5.0
CEN,BAE,Undirected,11,11.0
CEN,NPE,Undirected,10,10.0
CEN,FER,Undirected,16,16.0
BAE,NPE,Undirected,2,2.0
BAE,STA,Undirected,1,1.0
BAE,FER,Undirected,3,3.0
NPE,STA,Undirected,7,7.0
NPE,FER,Undirected,5,5.0
STA,FER,Undirected,3,3.0
MON,BAE,Undirected,8,8.0
MON,CEN,Undirected,22,22.0
ALV,COP,Undirected,6,6.0
ALV,CAS,Undirected,9,9.0
ALV,ADI,Undirected,5,5.0
ALV,ASU,Undirected,9,9.0
ALV,CEN,Undirected,11,11.0
COP,CAS,Undirected,5,5.0
COP,ADI,Undirected,8,8.0
COP,ASU,Undirected,10,10.0
COP,CEN,Undirected,9,9.0
CAS,ADI,Undirected,3,3.0
CAS,ASU,Undirected,9,9.0
CAS,CEN,Undirected,11,11.0
ADI,ASU,Undirected,9,9.0
ADI,CEN,Undirected,8,8.0
FIN,RIO,Undirected,4,4.0
FIN,BNE,Undirected,2,2.0
FIN,BOT,Undirected,3,3.0
FIN,MON,Undirected,3,3.0
FIN,DEM,Undirected,2,2.0
FIN,FER,Undirected,3,3.0
FIN,CEN,Undirected,3,3.0
FIN,NPE,Undirected,1,1.0
RIO,BNE,Undirected,2,2.0
RIO,BOT,Undirected,4,4.0
RIO,MON,Undirected,4,4.0
RIO,DEM,Undirected,3,3.0
RIO,FER,Undirected,4,4.0
RIO,CEN,Undirected,4,4.0
RIO,NPE,Undirected,1,1.0
